[2025-12-16T22:48:09.957+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-16T22:52:50.245+0000] {subprocess.py:93} INFO - Fetched page 165, 100 locations
[2025-12-16T22:52:50.245+0000] {subprocess.py:93} INFO - Fetched page 166, 100 locations
[2025-12-16T22:52:50.245+0000] {subprocess.py:93} INFO - Fetched page 167, 100 locations
[2025-12-16T22:52:50.245+0000] {subprocess.py:93} INFO - Fetched page 168, 100 locations
[2025-12-16T22:52:50.245+0000] {subprocess.py:93} INFO - Fetched page 169, 100 locations
[2025-12-16T22:52:50.245+0000] {subprocess.py:93} INFO - Fetched page 170, 100 locations
[2025-12-16T22:52:50.245+0000] {subprocess.py:93} INFO - Fetched page 171, 100 locations
[2025-12-16T22:52:50.245+0000] {subprocess.py:93} INFO - Fetched page 172, 100 locations
[2025-12-16T22:52:50.245+0000] {subprocess.py:93} INFO - Fetched page 173, 100 locations
[2025-12-16T22:52:50.246+0000] {subprocess.py:93} INFO - Fetched page 174, 100 locations
[2025-12-16T22:52:50.246+0000] {subprocess.py:93} INFO - Fetched page 175, 100 locations
[2025-12-16T22:52:50.246+0000] {subprocess.py:93} INFO - Fetched page 176, 100 locations
[2025-12-16T22:52:50.246+0000] {subprocess.py:93} INFO - Fetched page 177, 100 locations
[2025-12-16T22:52:50.246+0000] {subprocess.py:93} INFO - Fetched page 178, 100 locations
[2025-12-16T22:52:50.246+0000] {subprocess.py:93} INFO - Fetched page 179, 100 locations
[2025-12-16T22:52:50.246+0000] {subprocess.py:93} INFO - Error: 429 - {"detail":"Too many requests"}
[2025-12-16T22:52:50.246+0000] {subprocess.py:93} INFO - Loaded 17900 locations into openaq-elt-pipeline.openaq_raw.locations
[2025-12-16T22:52:50.326+0000] {subprocess.py:97} INFO - Command exited with return code 0
[2025-12-16T22:52:50.327+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2025-12-16T22:52:50.454+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=openaq_elt_pipeline, task_id=ingest_locations, run_id=manual__2025-12-16T22:48:09.580958+00:00, execution_date=20251216T224809, start_date=20251216T224809, end_date=20251216T225250
[2025-12-16T22:52:50.493+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2025-12-16T22:52:50.518+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2025-12-16T22:52:50.519+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
