[2025-12-16T22:58:41.371+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-16T23:04:47.152+0000] {subprocess.py:93} INFO - Fetched page 45, 100 locations
[2025-12-16T23:04:47.152+0000] {subprocess.py:93} INFO - Fetched page 46, 100 locations
[2025-12-16T23:04:47.152+0000] {subprocess.py:93} INFO - Fetched page 47, 100 locations
[2025-12-16T23:04:47.153+0000] {subprocess.py:93} INFO - Fetched page 48, 100 locations
[2025-12-16T23:04:47.153+0000] {subprocess.py:93} INFO - Fetched page 49, 100 locations
[2025-12-16T23:04:47.153+0000] {subprocess.py:93} INFO - Fetched page 50, 100 locations
[2025-12-16T23:04:47.153+0000] {subprocess.py:93} INFO - Fetched page 51, 100 locations
[2025-12-16T23:04:47.153+0000] {subprocess.py:93} INFO - Fetched page 52, 100 locations
[2025-12-16T23:04:47.153+0000] {subprocess.py:93} INFO - Fetched page 53, 100 locations
[2025-12-16T23:04:47.153+0000] {subprocess.py:93} INFO - Fetched page 54, 100 locations
[2025-12-16T23:04:47.153+0000] {subprocess.py:93} INFO - Fetched page 55, 100 locations
[2025-12-16T23:04:47.153+0000] {subprocess.py:93} INFO - Fetched page 56, 100 locations
[2025-12-16T23:04:47.154+0000] {subprocess.py:93} INFO - Fetched page 57, 100 locations
[2025-12-16T23:04:47.154+0000] {subprocess.py:93} INFO - Fetched page 58, 100 locations
[2025-12-16T23:04:47.154+0000] {subprocess.py:93} INFO - Fetched page 59, 100 locations
[2025-12-16T23:04:47.154+0000] {subprocess.py:93} INFO - Fetched page 60, 100 locations
[2025-12-16T23:04:47.154+0000] {subprocess.py:93} INFO - Fetched page 61, 100 locations
[2025-12-16T23:04:47.154+0000] {subprocess.py:93} INFO - Fetched page 62, 100 locations
[2025-12-16T23:04:47.154+0000] {subprocess.py:93} INFO - Fetched page 63, 100 locations
[2025-12-16T23:04:47.154+0000] {subprocess.py:93} INFO - Fetched page 64, 100 locations
[2025-12-16T23:04:47.155+0000] {subprocess.py:93} INFO - Fetched page 65, 100 locations
[2025-12-16T23:04:47.155+0000] {subprocess.py:93} INFO - Fetched page 66, 100 locations
[2025-12-16T23:04:47.155+0000] {subprocess.py:93} INFO - Fetched page 67, 100 locations
[2025-12-16T23:04:47.155+0000] {subprocess.py:93} INFO - Fetched page 68, 100 locations
[2025-12-16T23:04:47.155+0000] {subprocess.py:93} INFO - Fetched page 69, 100 locations
[2025-12-16T23:04:47.155+0000] {subprocess.py:93} INFO - Fetched page 70, 100 locations
[2025-12-16T23:04:47.155+0000] {subprocess.py:93} INFO - Fetched page 71, 100 locations
[2025-12-16T23:04:47.155+0000] {subprocess.py:93} INFO - Fetched page 72, 100 locations
[2025-12-16T23:04:47.156+0000] {subprocess.py:93} INFO - Fetched page 73, 100 locations
[2025-12-16T23:04:47.156+0000] {subprocess.py:93} INFO - Fetched page 74, 100 locations
[2025-12-16T23:04:47.156+0000] {subprocess.py:93} INFO - Fetched page 75, 100 locations
[2025-12-16T23:04:47.156+0000] {subprocess.py:93} INFO - Fetched page 76, 100 locations
[2025-12-16T23:04:47.156+0000] {subprocess.py:93} INFO - Fetched page 77, 100 locations
[2025-12-16T23:04:47.156+0000] {subprocess.py:93} INFO - Fetched page 78, 100 locations
[2025-12-16T23:04:47.156+0000] {subprocess.py:93} INFO - Fetched page 79, 100 locations
[2025-12-16T23:04:47.156+0000] {subprocess.py:93} INFO - Fetched page 80, 100 locations
[2025-12-16T23:04:47.156+0000] {subprocess.py:93} INFO - Fetched page 81, 100 locations
[2025-12-16T23:04:47.156+0000] {subprocess.py:93} INFO - Fetched page 82, 100 locations
[2025-12-16T23:04:47.156+0000] {subprocess.py:93} INFO - Fetched page 83, 100 locations
[2025-12-16T23:04:47.157+0000] {subprocess.py:93} INFO - Fetched page 84, 100 locations
[2025-12-16T23:04:47.157+0000] {subprocess.py:93} INFO - Fetched page 85, 100 locations
[2025-12-16T23:04:47.157+0000] {subprocess.py:93} INFO - Fetched page 86, 100 locations
[2025-12-16T23:04:47.157+0000] {subprocess.py:93} INFO - Fetched page 87, 100 locations
[2025-12-16T23:04:47.157+0000] {subprocess.py:93} INFO - Fetched page 88, 100 locations
[2025-12-16T23:04:47.157+0000] {subprocess.py:93} INFO - Fetched page 89, 100 locations
[2025-12-16T23:04:47.157+0000] {subprocess.py:93} INFO - Fetched page 90, 100 locations
[2025-12-16T23:04:47.157+0000] {subprocess.py:93} INFO - Fetched page 91, 100 locations
[2025-12-16T23:04:47.157+0000] {subprocess.py:93} INFO - Fetched page 92, 100 locations
